entity_a,entity_b,relationship_type,strength
Tom Barrack,Sergey Brin,co-mentioned,2
David Rodgers,Juan Alessi,co-mentioned,2
Tom Barrack,Woody Allen,co-mentioned,2
Ehud Barak,David Copperfield,co-mentioned,2
Tom Barrack,Itzhak Perlman,co-mentioned,2
Tom Barrack,Rupert Murdoch,co-mentioned,2
Bill Clinton,Richard Berman,co-mentioned,2
Bill Clinton,Lawrence Krauss,co-mentioned,2
Bill Clinton,Paul Cassell,co-mentioned,2
Donald Trump,Richard Berman,co-mentioned,2
Donald Trump,Lawrence Krauss,co-mentioned,2
Donald Trump,Paul Cassell,co-mentioned,2
Richard Berman,Alexander Acosta,co-mentioned,2
Richard Berman,Julie K. Brown,co-mentioned,2
Richard Berman,Lawrence Krauss,co-mentioned,2
Richard Berman,Geoffrey Berman,co-mentioned,2
Richard Berman,Robert Maxwell,co-mentioned,2
Richard Berman,Prince Andrew,co-mentioned,2
Richard Berman,Paul Cassell,co-mentioned,2
Alexander Acosta,Lawrence Krauss,co-mentioned,2
Alexander Acosta,Geoffrey Berman,co-mentioned,2
Alexander Acosta,Robert Maxwell,co-mentioned,2
Alexander Acosta,Prince Andrew,co-mentioned,2
Julie K. Brown,Lawrence Krauss,co-mentioned,2
Julie K. Brown,Geoffrey Berman,co-mentioned,2
Julie K. Brown,Robert Maxwell,co-mentioned,2
Julie K. Brown,Paul Cassell,co-mentioned,2
Lawrence Krauss,Geoffrey Berman,co-mentioned,2
Lawrence Krauss,Robert Maxwell,co-mentioned,2
Lawrence Krauss,Ghislaine Maxwell,co-mentioned,2
Lawrence Krauss,Prince Andrew,co-mentioned,2
Lawrence Krauss,Paul Cassell,co-mentioned,2
Geoffrey Berman,Robert Maxwell,co-mentioned,2
Geoffrey Berman,Paul Cassell,co-mentioned,2
Robert Maxwell,Paul Cassell,co-mentioned,2
Ehud Barak,Donald Trump,co-mentioned,2
Prince Andrew,Paul Cassell,co-mentioned,2
Tom Barrack,Prince Andrew,co-mentioned,2
Tom Barrack,Michael Jackson,co-mentioned,2
Stephen Hawking,Naomi Campbell,co-mentioned,2
Stephen Hawking,Demi Moore,co-mentioned,2
Stephen Hawking,Glenn Dubin,co-mentioned,2
Stephen Hawking,Henry Kissinger,co-mentioned,2
Stephen Hawking,Tony Blair,co-mentioned,2
Stephen Hawking,David Copperfield,co-mentioned,2
Virginia Giuffre,Jean-Luc Brunel,co-mentioned,2
Stephen Hawking,Sergey Brin,co-mentioned,2
Stephen Hawking,Woody Allen,co-mentioned,2
Virginia Giuffre,MC2 Model Management,co-mentioned,2
Paul Cassell,Sigrid McCawley,co-mentioned,2
Stephen Hawking,Itzhak Perlman,co-mentioned,2
Stephen Hawking,Rupert Murdoch,co-mentioned,2
Virginia Giuffre,George Mitchell,co-mentioned,2
Stephen Hawking,Prince Andrew,co-mentioned,2
Stephen Hawking,Michael Jackson,co-mentioned,2
Naomi Campbell,Demi Moore,co-mentioned,2
Naomi Campbell,Glenn Dubin,co-mentioned,2
Naomi Campbell,Henry Kissinger,co-mentioned,2
Naomi Campbell,Tony Blair,co-mentioned,2
Naomi Campbell,David Copperfield,co-mentioned,2
David Copperfield,Bill Richardson,co-mentioned,2
Naomi Campbell,Sergey Brin,co-mentioned,2
Naomi Campbell,Woody Allen,co-mentioned,2
Virginia Giuffre,Robert Giuffre,co-mentioned,2
Naomi Campbell,Itzhak Perlman,co-mentioned,2
Naomi Campbell,Rupert Murdoch,co-mentioned,2
Naomi Campbell,Michael Jackson,co-mentioned,2
Demi Moore,Glenn Dubin,co-mentioned,2
Demi Moore,Henry Kissinger,co-mentioned,2
Demi Moore,Tony Blair,co-mentioned,2
Demi Moore,David Copperfield,co-mentioned,2
Demi Moore,Sergey Brin,co-mentioned,2
Demi Moore,Woody Allen,co-mentioned,2
Virginia Giuffre,Bill Richardson,co-mentioned,2
Demi Moore,Itzhak Perlman,co-mentioned,2
Bill Clinton,Marvin Minsky,co-mentioned,2
Demi Moore,Prince Andrew,co-mentioned,2
Demi Moore,Michael Jackson,co-mentioned,2
Glenn Dubin,Henry Kissinger,co-mentioned,2
Glenn Dubin,Tony Blair,co-mentioned,2
Glenn Dubin,Sergey Brin,co-mentioned,2
Glenn Dubin,Woody Allen,co-mentioned,2
Glenn Dubin,Itzhak Perlman,co-mentioned,2
Virginia Giuffre,Denise George,co-mentioned,2
Jeffrey Epstein,MC2 Model Management,co-mentioned,2
Jeffrey Epstein,Robert Giuffre,co-mentioned,2
Jeffrey Epstein,Adriana Ross,co-mentioned,2
Ehud Barak,Glenn Dubin,co-mentioned,2
Jeffrey Epstein,MIT Media Lab,beneficiary,2
Ehud Barak,Virginia Giuffre,co-mentioned,2
Marvin Minsky,George Mitchell,co-mentioned,2
Nadia Marcinkova,Lesley Groff,co-mentioned,2
Laura Menninger,Alison Moe,co-mentioned,2
Marvin Minsky,Ghislaine Maxwell,co-mentioned,2
Ehud Barak,Alan Dershowitz,co-mentioned,2
Alison Nathan,Damian Williams,co-mentioned,2
Leon Black,Apollo Global Management,founded,2
Annie Farmer,Zorro Ranch,co-mentioned,2
Southern District of New York (SDNY),Damian Williams,co-mentioned,2
Annie Farmer,Jeffrey Epstein,co-mentioned,2
Annie Farmer,Carolyn (Trial Witness),co-mentioned,2
Nadia Marcinkova,Adriana Ross,co-mentioned,2
Annie Farmer,Jane (Trial Witness),co-mentioned,2
Virginia Giuffre,Manhattan Townhouse,co-mentioned,2
Southern District of New York (SDNY),Alison Nathan,co-mentioned,2
Manhattan Townhouse,Ghislaine Maxwell,co-mentioned,2
Ghislaine Maxwell,Mar-a-Lago,co-mentioned,2
Jeffrey Epstein,Apollo Global Management,co-mentioned,2
Virginia Giuffre,Jane (Trial Witness),co-mentioned,2
Jeffrey Epstein,Carolyn (Trial Witness),co-mentioned,2
